,type,id,attributes.bioproject,attributes.accession,attributes.samples-count,attributes.secondary-accession,attributes.centre-name,attributes.is-public,attributes.public-release-date,attributes.study-abstract,attributes.study-name,attributes.data-origination,attributes.last-update,relationships.geocoordinates.links.related,relationships.samples.links.related,relationships.downloads.links.related,relationships.biomes.meta.count,relationships.biomes.data,relationships.biomes.links.related,relationships.publications.links.related,relationships.analyses.links.related,links.self,pipeline_version,biomes
238,studies,MGYS00000983,PRJNA205234,MGYS00000983,216.0,SRP041803,Institute of Microbiology and Genetics,True,,"The direct isolation of total RNA and DNA from soil samples and its analysis by sequencing with high through-put techniques (454-pyroseqencing) are useful tools for metagenomic and metatranscriptomic analyses. It provides insights into the diversity and the ecosystem function of microbial communities. Furthermore, the metatranscriptomic approach provides an opportunity to detect novel genes, which might encode key functions for important biogeochemical cycles. The aim of this study was to examine the soil structure of bacterial communities in the rhizospheres of poplars from different origins. In addition the seasonal change of the bacterial community composition was investigated. In a second experiment the influence of fertilization on total and active bacterial communities was validated.  Thsi Project was funded by the State of Lower Saxony (Ministry of Science and Culture).",Diversity and activity of soil bacterial communities in the rhizophere of poplars from different origins,HARVESTED,2020-06-19T15:59:27,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000983/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000983/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000983/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Plants:Rhizosphere:Soil', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizosphere:Soil'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000983/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000983/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000983/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000983,2.0|4.1,root:Host-associated:Plants:Rhizosphere:Soil
239,studies,MGYS00000524,PRJEB3374,MGYS00000524,4.0,ERP001950,NJU,True,,"Mice were fed with pure water, 3mg/L As, 5mg/L Fe, and  3mg/L As + 5mg/L Fe for 90 days. Then, the fecal samples were collected, and genomic DNA was extracted  by FastDNA SPIN Kit for Soil (Qiagen, CA). Genomic DNA was amplified with a set of primers targeting the hypervairable V3 and V4 regions of 16S rRNA gene. The PCR products were quantified using Nanodrop and was sent out for pyrosequencing on the Roche 454 FLX Titanium platform. High-throughput sequencing for mouse fecal genomic DNA using Illumina Hiseq 2000 was performed to identify the function genes of gut microbiota.","Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe",SUBMITTED,2020-06-19T14:20:51,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000524/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000524/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000524/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Mammals:Digestive system:Fecal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Digestive%20system:Fecal'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000524/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000524/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000524/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000524,2.0|4.1,root:Host-associated:Mammals:Digestive system:Fecal
240,studies,MGYS00005216,PRJNA369714,MGYS00005216,1.0,SRP098921,University of Nebraska-Lincoln,True,,"In this study, we hypothesized that specific bacterial features influence feed efficiency phenotype of beef cattle. Rumen bacterial community composition from two cohorts of animals (heifers and steers) was determined through 16S rRNA gene sequencing to identify differentially abundant bacterial groups across varying feed efficiency phenotypes. Based on the differential abundant bacterial groups, models were built and tested to explain the variation in feed efficiency traits (average daily gain, average daily dry matter intake, and gain-to-feed efficiency).",bovine gut metagenome Metagenome,HARVESTED,2020-06-18T19:06:15,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005216/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005216/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005216/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Mammals:Digestive system:Stomach:Rumen', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Digestive%20system:Stomach:Rumen'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005216/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005216/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005216/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005216,4.1,root:Host-associated:Mammals:Digestive system:Stomach:Rumen
241,studies,MGYS00004729,PRJEB18650,MGYS00004729,720.0,ERP020597,SC,True,,"A longitudinal study was undertaken for 21 infants living in the Maela refugee camp on the Thailand-Burma border between 2007 and 2010. Nasopharyngeal swabs were collected monthly, from birth to 24 months of age, with additional swabs taken if the infant was diagnosed with pneumonia according to WHO clinical criteria. At the time of collection, swabs were cultured for Streptococcus pneumoniae and multiple serotype carriage was assessed. The 16S rRNA gene profiles of these 544 swabs were analysed to see how the microbiota changes with age, respiratory infection, and pneumococcal acquisition. 

This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/about/who-we-are/policies/open-access-science",Nasopharyngeal_microbiota_in_Maela_Thailand,SUBMITTED,2020-06-18T12:00:38,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004729/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004729/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004729/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Respiratory system:Nasopharyngeal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Respiratory%20system:Nasopharyngeal'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004729/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004729/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004729/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004729,4.1,root:Host-associated:Human:Respiratory system:Nasopharyngeal
243,studies,MGYS00005289,PRJEB21072,MGYS00005289,135.0,ERP023301,Medical University of Graz,True,,"The MARS 500 project was the first full duration simulation of a manned flight to Mars. For 520 days, a six-man crew lived like astronauts in a specifically designed and hermetically sealed spacecraft-like environment. The MICHAm (MIcrobial ecology of Confined Habitats and humAn health, modified) study aimed to survey the microbial distribution and its community structure within the facility from the start to the end of the simulation study, and to investigate the impact of confinement. Therefore, the microbial load and biodiversity in the air and on surfaces as well as their changes over time were monitored.The cultivation approach showed that the overall microbial inventory in the air and on different surfaces was moderate compared to other non-confined rooms (air: 0 to 716 CFU/m3; average=86 CFU/m3; surface: 0 to 29,760 CFU/10 m2; average=675 CFU/10 m2). Despite the detection of fluctuations in microbial load over time and places, microbial hotspots were identified. Phylogenetic investigations revealed a higher diversity on surfaces than in air indicating the dominance of human-associated microorganisms (e.g. staphylococci). Besides cultivation-based analyses, the microbial community was also studied on the molecular level via PhyloChip analysis and next generation sequencing. The whole microbiome structure exhibited a significant change in structure and decrease in diversity over time, but potentially pathogenic microorganisms containing mobile elements increased during the confinement. Additionally, significantly different microbiome structures were identified for investigated modules.Since the majority of microorganisms were not harmful there was no alert and health concern due to potential danger caused by microorganisms. The scientific information obtained by our study is essential to evaluate biosafety risks, predict and mitigate the possible occurrence of biocorrosion, and improve the sanitary and hygienic quality of life for the crew inside closed habitats.",Preparing for the manned Mars journey: Microbiome dynamics in the confined MARS 500 habitat during simulated Mars flight and landing,SUBMITTED,2020-06-16T18:37:48,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005289/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005289/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005289/downloads,1,"[{'type': 'biomes', 'id': 'root:Engineered:Built environment', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005289/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005289/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005289/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005289,4.1,root:Engineered:Built environment
244,studies,MGYS00005034,PRJEB29894,MGYS00005034,33.0,ERP112251,EMG,True,,"The human skin metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA281366.  This project includes samples from the following biomes: Host-associated, Human, Skin.",EMG produced TPA metagenomics assembly of the Skin metagenomes (human skin metagenome) data set.,SUBMITTED,2020-06-16T10:42:56,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005034/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005034/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005034/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Skin', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Skin'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005034/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005034/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005034/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005034,4.1|5.0,root:Host-associated:Human:Skin
245,studies,MGYS00005503,PRJEB31040,MGYS00005503,870.0,ERP113547,QUEEN'S UNIVERSITY,True,,"The Towards a Sustainable Fishery for Nunavummiut (TSFN) Project seeks to increase our understanding of the fisheries resources in the lower Northwest Passage in partnership with Nunavummiut communities. Our goal is to use genomic, demographic, physiological and microbial analysis to inform strategies to retain genetically-diverse and healthy stocks for the sustainable supply of high quality fish to Inuit communities. Genetic analysis will allow the identification of fish populations, but it is also important to assess the health of this resource. We are therefore characterizing fish with respect to their microbial consortia.","Characterization and Analysis of Skin- and Intestine-associated Microbiomes of Fish in the Lower Northwest Passage of Nunavut, Canada (2019)",SUBMITTED,2020-06-14T15:05:01,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005503/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005503/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005503/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Fish', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Fish'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005503/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005503/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005503/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005503,4.1,root:Host-associated:Fish
246,studies,MGYS00005499,PRJEB30308,MGYS00005499,510.0,ERP112744,Universitaet Basel,True,,"In many organisms, host-associated microbial communities are acquired horizontally after birth. This process is believed to be shaped by a combination of environmental and host genetic factors. We examined whether genetic variation in animal behavior could affect the composition of the animals microbiota in different environments. The freshwater crustacean Daphnia magna is primarily planktonic, but exhibits variation in the degree to which it browses in benthic sediments. We performed an experiment with clonal lines of D. magna showing different levels of sediment-browsing intensity exposed to either bacteria-rich or bacteria-poor sediment or whose access to sediments was prevented. We find that the bacterial composition of the environment and genotype-specific browsing intensity together influence the composition of the Daphnia-associated bacterial community. Exposure to more diverse bacteria did not lead to a more diverse microbiome, but greater abundances of environment-specific bacteria were found associated with host genotypes that exhibited greater browsing behavior. Our results indicate that, although there is a great deal of variation between individuals, behavior can mediate genotype-by-environment interaction effects on microbiome composition.",Microbiota associated with Daphnia exhibiting genetic variation in behavior,SUBMITTED,2020-06-14T15:04:35,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005499/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005499/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005499/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Animal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Animal'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005499/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005499/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005499/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005499,4.1,root:Host-associated:Animal
247,studies,MGYS00005523,PRJEB28241,MGYS00005523,1118.0,ERP110423,LANZHOU UNIVERSITY,True,,"The early-life gut microbiome establishment has long-term implications for neonate health and immune system development. However, the acquisition patterns of the early-life microbiome in piglet gut is largely unknown. Here, microbiota of 1119 samples were characterized to longitudinally assess the transmission contribution of the maternal and environmental microbiota on the colonization and development from birth through weaning. Source tracking analysis revealed that the contribution of various microbial sources on the microbiome of was gradually changed over time. The neonatal microbiota was sparsely populated and predominantly comprised of maternal vaginal microbiota that increased gradually from day 0 to day 3, and decreased till day 28. However, with the increasing piglet age, the microbiome were more associated with the floor and sows feces. Additionally, the intestinal microbial diversity, composition and function significantly changed with the age of piglets. 30 age-discriminatory bacterial taxa were identified with distinctive time-dependent changes in their relative abundance, which reflected probable selection within or adaptations of piglet gut microbiota to maternal and environmental sources. Our results demonstrated that the sow vagina, feces and floor are the primary bacterial sources for the early gut microbiota colonization in piglets, which highlights the importance of the health of sows rearing environment especially the floor to the development of the piglet gut microbiome.",Selective maternal seeding and rearing environment shape the colonization and development of the piglet gut microbiome from birth to weaning,SUBMITTED,2020-06-14T15:03:17,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005523/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005523/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005523/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Mammals:Digestive system', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Digestive%20system'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005523/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005523/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005523/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005523,4.1,root:Host-associated:Mammals:Digestive system
248,studies,MGYS00005526,PRJEB27868,MGYS00005526,541.0,ERP110005,UNIVERSITY OF BRITISH COLUMBIA,True,,"Linear growth delay (stunting) affects roughly 155 million children under the age of five worldwide. Treatment has been limited by a lack of understanding of the underlying pathophysiological mechanisms. Stunting is most likely associated with changes in the microbial community of the small intestine, a compartment vital for digestion and nutrient absorption. Efforts to better understand the pathophysiology have been hampered by difficulty of access to small intestinal fluids. Here, we describe for the first time the microbial community found in the upper gastrointestinal tract of stunted children. We studied 46 duodenal and 57 gastric samples from stunted children as well as 404 fecal samples from stunted and non-stunted children aged 2-5 years living in Bangui, Central African Republic and in Antananarivo, Madagascar, using 16S Illumina Amplicon sequencing and semi-quantitative culture methods. The vast majority of the stunted children showed small intestinal bacterial overgrowth dominated by bacteria that normally reside in the oropharyngeal cavity. There was an overrepresentation of oral bacteria in fecal samples of stunted children opening the way for developing non-invasive diagnostic markers. In addition, E. coli/Shigella sp. and Campylobacter sp. were found to be more prevalent in stunted children, while Clostridia, well-known butyrate producers, were reduced. Our data suggest that stunting is associated with a microbiome decompartmentalization of the gastrointestinal tract characterized by an increased presence of oropharyngeal bacteria from the stomach to the colon, hence challenging the current view of stunting arising solely as a consequence of small intestine overstimulation through recurrent infections by enteric pathogens.",Stunted childhood growth is associated with decompartmentalization of the gastrointestinal tract and overgrowth of oropharyngeal taxa,SUBMITTED,2020-06-14T15:01:53,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005526/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005526/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005526/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005526/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005526/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005526/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005526,4.1,root:Host-associated:Human:Digestive system
249,studies,MGYS00005514,PRJNA315997,MGYS00005514,913.0,SRP108031,Montana State University,True,,Development of micro biome of lambs,"Sheep feces, epithelial and maternal samples Raw sequence reads",HARVESTED,2020-06-14T14:56:29,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005514/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005514/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005514/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Mammals', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005514/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005514/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005514/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005514,4.1,root:Host-associated:Mammals
250,studies,MGYS00005501,PRJEB27065,MGYS00005501,1055.0,ERP109105,"Department of Plant Sciences, Oxford",True,,Plant niche rather than soil or species shapes the microbiota. Plants are colonised in 2 weeks time and this process is continuous.,Plant niche rather than soil or species shapes the microbiota,SUBMITTED,2020-06-14T14:52:22,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005501/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005501/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005501/downloads,1,"[{'type': 'biomes', 'id': 'root:Environmental:Terrestrial:Soil', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005501/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005501/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005501/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005501,4.1,root:Environmental:Terrestrial:Soil
251,studies,MGYS00005513,PRJNA470730,MGYS00005513,2220.0,SRP145522,UC Davis,True,,These are raw sequence reads from Illumina 16S sequencing of swabs collected from cell phones and shoes across the USA.,Cell phone and shoe swabs across the USA Raw sequence reads,HARVESTED,2020-06-14T14:50:14,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005513/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005513/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005513/downloads,1,"[{'type': 'biomes', 'id': 'root:Mixed', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Mixed'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005513/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005513/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005513/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005513,4.1,root:Mixed
252,studies,MGYS00005524,PRJEB26637,MGYS00005524,608.0,ERP108642,IFIK,True,,"Background: Prior studies have demonstrated an influence of the environment on the human nasal microbiota, particularly in the case of pig farming. However, very little is known about the impact of season on the dynamics of the microbiota in a pig farm setting. Methods: We performed a longitudinal study, investigating the changes in the nasal microbiota of different samples collected in the four seasons (winter, spring, summer and fall). We collected samples from 30 pig farms in Switzerland in each season from 2014-2015. This included nasal swabs from pigs (n=225), air samples taken in the pig confinement building (n=105), and nasal swabs from pig farmers working in these pig farms (n=154 from 48 pig farmers). As controls, nasal swabs from cow farmers (n=56 from 18 cow farmers) and individuals with no contact with farm animals (n=69 from 24 non-exposed individuals) were collected. Analysis of the microbiota was performed based on 16S rRNA high-throughput sequencing utilizing the Illumina MiSeq platform and the recently developed DADA2 pipeline. Results: Alpha-diversity values were generally higher in samples received in winter with the exception of samples from the non-exposed controls which displayed low alpha-diversity values throughout the seasons with no significant differences. The microbial structure of pig farmers, cow farmers and non-exposed individuals was significantly influenced by season. Also, the farm where the samples were taken from influenced the nasal microbiota of pig and cow farmers. There was a stronger similarity for samples that originated from the same farm as compared to samples from different farms in winter and this farm-specificity was partially or completely lost in spring, summer and fall.Conclusions: Nasal microbiota of pig farmers is affected by the regular exposure to pigs throughout the year. However, season has a very strong effect on the nasal microbiota of pig farmers, pigs, and cow farmers, as well as the airborne bacterial composition. This seasonal effect is much weaker in individuals without any contact with farm animals.",Seasonal changes of the nasal microbial diversity of pig farmers,SUBMITTED,2020-06-14T14:49:38,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005524/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005524/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005524/downloads,1,"[{'type': 'biomes', 'id': 'root:Mixed', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Mixed'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005524/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005524/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005524/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005524,4.1,root:Mixed
253,studies,MGYS00005498,PRJEB27512,MGYS00005498,812.0,ERP109599,NIOO KNAW,True,,"We studied the legacy effects of plants on fungal and bacterial communities in soils, roots, leaves and caterpillars.",Linking microbiomes of soils and foliar feeding insects,SUBMITTED,2020-06-14T14:34:33,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005498/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005498/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005498/downloads,1,"[{'type': 'biomes', 'id': 'root:Mixed', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Mixed'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005498/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005498/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005498/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005498,4.1,root:Mixed
254,studies,MGYS00005525,PRJNA423104,MGYS00005525,510.0,SRP128145,Agriculture and Agri-Food Canada,True,,The effect of injectable antimicrobials on the NP and gut microbiota of beef cattle after feedlot placement was determined.,Antibiotic treatment in feedlot cattle: a longitudinal study of the effect of oxytetracycline and tulathromycin on the fecal and nasopharyngeal microbiota,HARVESTED,2020-06-14T14:28:08,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005525/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005525/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005525/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Mammals', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005525/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005525/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005525/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005525,4.1,root:Host-associated:Mammals
255,studies,MGYS00005505,PRJNA352060,MGYS00005505,850.0,SRP092421,Alkek Center for Metagenomics and Microbiome Research,True,,,Longitudinal microbiome analyses of acute myelogenous leukemia patients during induction chemotherapy,HARVESTED,2020-06-14T14:18:57,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005505/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005505/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005505/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system:Large intestine:Fecal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005505/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005505/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005505/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005505,4.1,root:Host-associated:Human:Digestive system:Large intestine:Fecal
256,studies,MGYS00005506,PRJNA399163,MGYS00005506,722.0,SRP115814,Jackson Laboratory Genomic Medicine,True,,,Chemotherapy Induced Oral Mucositis and Microbiome,HARVESTED,2020-06-14T14:15:15,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005506/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005506/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005506/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system:Oral', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Oral'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005506/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005506/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005506/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005506,4.1,root:Host-associated:Human:Digestive system:Oral
